DatasetID,year1,author1,DATA (B) 0.1,ERR-T (B) 0.911,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,EN (EV) 1.1,EN-ERR (EV) 1.911,HL-ERR (PER-CENT) 777,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
A0330002,1981,B.Anders+,0.282,0.031,2.5,2,1.25,1.087e+7,5.0e+4,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.276,0.033,2.5,2,1.25,1.098e+7,5.0e+4,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.214,0.026,2.5,2,1.25,1.188e+7,6.0e+4,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.16,0.038,2.5,2,1.25,1.285e+7,6.0e+4,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.198,0.025,2.5,2,1.25,1.399e+7,7.0e+4,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.145,0.02,2.5,2,1.25,1.5e+7,8.0e+4,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.135,0.02,2.5,2,1.25,1.594e+7,8.0e+4,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.092,0.016,2.5,2,1.25,1.692e+7,8.0e+4,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.106,0.013,2.5,2,1.25,1.774e+7,9.0e+4,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.126,0.016,2.5,2,1.25,1.79e+7,9.0e+4,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.0684,0.009,2.5,2,1.25,1.903e+7,1.0e+5,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.0931,0.014,2.5,2,1.25,2.006e+7,1.0e+5,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.0494,0.006,2.5,2,1.25,2.061e+7,1.0e+5,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.0355,0.005,2.5,2,1.25,2.17e+7,1.1e+5,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.0435,0.006,2.5,2,1.25,2.279e+7,1.1e+5,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.0388,0.005,2.5,2,1.25,2.36e+7,1.2e+5,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.0388,0.005,2.5,2,1.25,2.481e+7,1.2e+5,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.033,0.004,2.5,2,1.25,2.602e+7,1.3e+5,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.032,0.004,2.5,2,1.25,2.712e+7,1.4e+5,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
A0330002,1981,B.Anders+,0.0307,0.004,2.5,2,1.25,2.75e+7,9.14e+6,1.25,5011,5-B-11,P,N,6-C-11,3,4,CS,CS,1,2,"5-B-11(P,N)6-C-11,,SIG"
