DatasetID,year1,author1,DATA (B) 0.1,ERR-T (B) 0.911,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,ERR-4 (PER-CENT) 0.955,EN (EV) 1.1,EN-ERR (EV) 1.911,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
O2422004,2019,T.S.Carzaniga+,0.199,0.028,1,1,1,5,1.84e+7,5.0e+5,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
O2422004,2019,T.S.Carzaniga+,0.22,0.019,1,1,1,5,1.72e+7,5.0e+5,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
O2422004,2019,T.S.Carzaniga+,0.243,0.033,1,1,1,5,1.6e+7,5.0e+5,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
O2422004,2019,T.S.Carzaniga+,0.321,0.032,1,1,1,5,1.46e+7,5.0e+5,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
O2422004,2019,T.S.Carzaniga+,0.425,0.041,1,1,1,5,1.32e+7,6.0e+5,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
O2422004,2019,T.S.Carzaniga+,0.711,0.044,1,1,1,5,1.16e+7,6.0e+5,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
O2422004,2019,T.S.Carzaniga+,0.89,0.051,1,1,1,5,9.9e+6,6.0e+5,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
O2422004,2019,T.S.Carzaniga+,0.954,0.049,1,1,1,5,8.9e+6,7.0e+5,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
O2422004,2019,T.S.Carzaniga+,0.822,0.049,1,1,1,5,6.7e+6,8.0e+5,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
O2422004,2019,T.S.Carzaniga+,0.57,0.039,1,1,1,5,5.3e+6,9.0e+5,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
O2422004,2019,T.S.Carzaniga+,0.448,0.03,1,1,1,5,4.4e+6,1.0e+6,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
O2422004,2019,T.S.Carzaniga+,0.245,0.014,1,1,1,5,3.4e+6,1.1e+6,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
O2422004,2019,T.S.Carzaniga+,0.122,0.01,1,1,1,5,3.0e+6,1.2e+6,20048,20-CA-48,P,N,21-SC-48,3,4,CS,CS,1,2,"20-CA-48(P,N)21-SC-48,,SIG"
