DatasetID,year1,author1,DATA (B) 0.1,DATA-ERR (B) 0.911,EN (EV) 1.1,EN-ERR (EV) 1.911,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
D0500008,2009,M.Al-abyad+,0.0075,0.0013,1.8e+6,8.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.0178,0.0032,3.0e+6,7.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.136,0.024,4.0e+6,6.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.285,0.056,4.8e+6,5.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.533,0.098,6.5e+6,5.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.633,0.114,8.6e+6,4.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.629,0.113,1.04e+7,4.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.382,0.068,1.24e+7,4.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.242,0.043,1.25e+7,4.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.304,0.054,1.34e+7,4.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.207,0.037,1.4e+7,4.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.208,0.037,1.42e+7,5.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.114,0.02,1.51e+7,4.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.068,0.012,1.68e+7,2.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
D0500008,2009,M.Al-abyad+,0.042,0.007,1.85e+7,2.0e+5,26057,26-FE-57,P,N,27-CO-57,3,4,CS,CS,1,2,"26-FE-57(P,N)27-CO-57,,SIG"
