DatasetID,year1,author1,DATA (B) 0.1,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
P0047006,1956,W.W.Meinke+,0.00163,6.0e+5,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.00173,6.84e+7,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.0119,1.28e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.0409,1.68e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.036,1.76e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.0393,1.83e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.0377,1.88e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.0418,1.97e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.0508,2.07e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.047,2.17e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.0462,2.27e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.0467,2.37e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.0517,2.49e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.0489,2.72e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.0516,2.99e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
P0047006,1956,W.W.Meinke+,0.0464,3.46e+8,92238,92-U-238,P,8N+A,91-PA-227,3,0,CS,CS,1,2,"92-U-238(P,8N+A)91-PA-227,,SIG"
